observable,full_mean_abs_error,full_mean_width90,full_coverage90,full_coverage95,reduced_mean_abs_error,reduced_mean_width90,reduced_coverage90,reduced_coverage95
iteration2_max_global_stress,1.6672862312446397,41.24826280839958,1.0,1.0,2.191100553310423,40.27193666819465,1.0,1.0
iteration2_max_fuel_temp,1.7485135973898878,15.790661826897486,1.0,1.0,1.8441741007416224,15.482568448582038,1.0,1.0
iteration2_max_monolith_temp,1.8866802232929327,17.820237027158036,1.0,1.0,2.096392333526592,17.675470201988382,1.0,1.0
iteration2_wall2,0.000765248621558,0.0151528032207547,1.0,1.0,0.0008281575717788,0.0145451964783756,1.0,1.0
iteration2_keff,0.0002428070074823,0.001724643217956,1.0,1.0,0.0002582975149661,0.0017133833763443,1.0,1.0
