output,input,level,S1_raw_mean,S1_raw_std,S1_ci_low,S1_ci_high,S1_plot,ST_mean,ST_std,ST_ci_low,ST_ci_high
iteration2_max_global_stress,E_slope,0,0.04216909408569336,0.04459632100346333,0.022623894644904816,0.0617142935264819,0.04216909408569336,0.04915162939578295,0.0032053707267076592,0.04774681373553373,0.05055644505603217
iteration2_max_global_stress,E_intercept,0,0.7087239414453507,0.022560122171226892,0.6988365319612603,0.7186113509294411,0.7087239414453507,0.7390654772520066,0.03998038297092732,0.7215433018504708,0.7565876526535423
iteration2_max_global_stress,nu,0,0.044854086637496945,0.040728154005682325,0.027004186130358886,0.062703987144635,0.044854086637496945,0.05954158790409565,0.003688114404527128,0.05792520049870117,0.06115797530949014
iteration2_max_global_stress,alpha_base,0,0.1114298313856125,0.03403530238389242,0.09651320243164425,0.12634646033958075,0.1114298313856125,0.12611633837223052,0.009765241331773688,0.12183653265906136,0.13039614408539968
iteration2_max_global_stress,alpha_slope,0,0.0032730907201766967,0.0333538157461457,-0.011344863546030695,0.017891044986384087,0.0032730907201766967,0.01640818789601326,0.0016140748995117854,0.0157007883815807,0.01711558741044582
iteration2_max_global_stress,SS316_T_ref,0,-0.00021119415760040283,0.040947656138559024,-0.01815729571604089,0.017734907400840084,0.0,0.0116659764200449,0.0009129839565501848,0.011265843558959166,0.012066109281130633
iteration2_max_global_stress,SS316_k_ref,0,0.021418073773384096,0.041624604107118254,0.00317528668665756,0.03966086086011063,0.021418073773384096,0.03619158286601305,0.0027174431250836686,0.03500061090568845,0.037382554826337656
iteration2_max_global_stress,SS316_alpha,0,-0.006570750474929809,0.03815629629910956,-0.023293484644638603,0.010151983694778986,0.0,0.0027574696228839456,0.00028325323281712394,0.0026333284201325155,0.0028816108256353758
iteration2_keff,E_slope,0,0.003578987717628479,0.046440653103917526,-0.016774525905301374,0.023932501340558333,0.003578987717628479,0.004482774785719812,0.0003484250388041244,0.004330070779641324,0.004635478791798301
iteration2_keff,E_intercept,0,0.0216856986284256,0.04362438483434495,0.0025664689950491842,0.040804928261802015,0.0216856986284256,0.027085503470152615,0.002936552723537457,0.025798502494321602,0.02837250444598363
iteration2_keff,nu,0,0.04289995729923248,0.04615635600137445,0.022671042375132767,0.06312887222333219,0.04289995729923248,0.04485111813992262,0.003598193708544913,0.043274140217132995,0.04642809606271224
iteration2_keff,alpha_base,0,0.7464575409889221,0.01434787092315371,0.7401693093044756,0.7527457726733687,0.7464575409889221,0.7625121295452117,0.03639312789964883,0.7465621379973097,0.7784621210931137
iteration2_keff,alpha_slope,0,0.16222575604915618,0.04373015904081066,0.14306016882585876,0.1813913432724536,0.16222575604915618,0.16340309903025627,0.010295570785691344,0.1588908661860388,0.16791533187447374
iteration2_keff,SS316_T_ref,0,0.0029439926147460938,0.04057964249449688,-0.014840819852839401,0.02072880508233159,0.0029439926147460938,0.005154808796942234,0.0005410269757047175,0.004917693270256206,0.0053919243236282615
