level,output,input,rank_by_ST,ST_mean,ST_ci_low,ST_ci_high,S1_raw_mean,S1_ci_low,S1_ci_high,interpretation_label
0,iteration2_max_global_stress,E_intercept,1,0.7390654772520066,0.7215433018504708,0.7565876526535423,0.7087239414453507,0.6988365319612603,0.7186113509294411,stable dominant contributor
0,iteration2_max_global_stress,alpha_base,2,0.1261163383722305,0.1218365326590613,0.1303961440853996,0.1114298313856125,0.0965132024316442,0.1263464603395807,stable dominant contributor
0,iteration2_max_global_stress,nu,3,0.0595415879040956,0.0579252004987011,0.0611579753094901,0.0448540866374969,0.0270041861303588,0.062703987144635,stable dominant contributor
0,iteration2_keff,alpha_base,1,0.7625121295452117,0.7465621379973097,0.7784621210931137,0.7464575409889221,0.7401693093044756,0.7527457726733687,stable dominant contributor
0,iteration2_keff,alpha_slope,2,0.1634030990302562,0.1588908661860388,0.1679153318744737,0.1622257560491561,0.1430601688258587,0.1813913432724536,stable dominant contributor
0,iteration2_keff,nu,3,0.0448511181399226,0.0432741402171329,0.0464280960627122,0.0428999572992324,0.0226710423751327,0.0631288722233321,stable dominant contributor
2,iteration2_max_global_stress,E_intercept,1,0.6693903684616089,0.6530557799065515,0.6857249570166664,0.6256247103214264,0.61585364394192,0.6353957767009328,stable dominant contributor
2,iteration2_max_global_stress,alpha_base,2,0.1430730506777763,0.1395847121272087,0.1465613892283439,0.1187647193670272,0.095786237899149,0.1417432008349055,stable dominant contributor
2,iteration2_max_global_stress,nu,3,0.0717164829373359,0.0689906562246139,0.0744423096500579,0.0521552443504333,0.0308639017742129,0.0734465869266537,stable dominant contributor
2,iteration2_keff,alpha_base,1,0.7267138123512268,0.7092299658746447,0.7441976588278089,0.7169017404317856,0.7099691845171855,0.7238342963463856,stable dominant contributor
2,iteration2_keff,alpha_slope,2,0.2180897019803524,0.2121767225468612,0.2240026814138435,0.2011769413948059,0.1777383619324009,0.2246155208572109,stable dominant contributor
2,iteration2_keff,nu,3,0.0455096734687685,0.0442060762229494,0.0468132707145877,0.0347460150718689,0.0171147509513286,0.0523772791924091,stable dominant contributor
