level,output,input,rank_by_ST,S1_raw_mean,S1_raw_std,S1_ci_low,S1_ci_high,S1_flag,ST_mean,ST_std,ST_ci_low,ST_ci_high,ST_flag,interpretable_ST,recommend_interpretation,note
0,iteration2_max_global_stress,E_intercept,1,0.7087239414453507,0.0225601221712268,0.6988365319612603,0.7186113509294411,stable_positive,0.7390654772520066,0.0399803829709273,0.7215433018504708,0.7565876526535423,stable_positive,True,yes,top stable contributor
0,iteration2_max_global_stress,alpha_base,2,0.1114298313856125,0.0340353023838924,0.0965132024316442,0.1263464603395807,stable_positive,0.1261163383722305,0.0097652413317736,0.1218365326590613,0.1303961440853996,stable_positive,True,yes,top stable contributor
0,iteration2_max_global_stress,nu,3,0.0448540866374969,0.0407281540056823,0.0270041861303588,0.062703987144635,stable_positive,0.0595415879040956,0.0036881144045271,0.0579252004987011,0.0611579753094901,stable_positive,True,yes,top stable contributor
0,iteration2_max_global_stress,E_slope,4,0.0421690940856933,0.0445963210034633,0.0226238946449048,0.0617142935264819,stable_positive,0.0491516293957829,0.0032053707267076,0.0477468137355337,0.0505564450560321,stable_positive,True,no,
0,iteration2_max_global_stress,SS316_k_ref,5,0.021418073773384,0.0416246041071182,0.0031752866866575,0.0396608608601106,stable_positive,0.036191582866013,0.0027174431250836,0.0350006109056884,0.0373825548263376,stable_positive,True,no,
0,iteration2_max_global_stress,alpha_slope,6,0.0032730907201766,0.0333538157461457,-0.0113448635460306,0.017891044986384,crosses_zero,0.0164081878960132,0.0016140748995117,0.0157007883815807,0.0171155874104458,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_max_global_stress,SS316_T_ref,7,-0.0002111941576004,0.040947656138559,-0.0181572957160408,0.01773490740084,crosses_zero,0.0116659764200449,0.0009129839565501,0.0112658435589591,0.0120661092811306,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_max_global_stress,SS316_alpha,8,-0.0065707504749298,0.0381562962991095,-0.0232934846446386,0.0101519836947789,crosses_zero,0.0027574696228839,0.0002832532328171,0.0026333284201325,0.0028816108256353,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_keff,alpha_base,1,0.7464575409889221,0.0143478709231537,0.7401693093044756,0.7527457726733687,stable_positive,0.7625121295452117,0.0363931278996488,0.7465621379973097,0.7784621210931137,stable_positive,True,yes,top stable contributor
0,iteration2_keff,alpha_slope,2,0.1622257560491561,0.0437301590408106,0.1430601688258587,0.1813913432724536,stable_positive,0.1634030990302562,0.0102955707856913,0.1588908661860388,0.1679153318744737,stable_positive,True,yes,top stable contributor
0,iteration2_keff,nu,3,0.0428999572992324,0.0461563560013744,0.0226710423751327,0.0631288722233321,stable_positive,0.0448511181399226,0.0035981937085449,0.0432741402171329,0.0464280960627122,stable_positive,True,yes,top stable contributor
0,iteration2_keff,E_intercept,4,0.0216856986284256,0.0436243848343449,0.0025664689950491,0.040804928261802,stable_positive,0.0270855034701526,0.0029365527235374,0.0257985024943216,0.0283725044459836,stable_positive,True,no,
0,iteration2_keff,SS316_k_ref,5,-0.000270602107048,0.0466946728507026,-0.0207354447925799,0.0201942405784838,crosses_zero,0.011948355147615,0.0009621749952701,0.0115266633632628,0.0123700469319672,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_keff,SS316_alpha,6,0.0027819991111755,0.0435690068330361,-0.0163129600430255,0.0218769582653765,crosses_zero,0.0055984724545851,0.0006354666223928,0.005319966927825,0.0058769779813452,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_keff,SS316_T_ref,7,0.002943992614746,0.0405796424944968,-0.0148408198528394,0.0207288050823315,crosses_zero,0.0051548087969422,0.0005410269757047,0.0049176932702562,0.0053919243236282,stable_positive,True,no,CI crosses zero; do not over-interpret
0,iteration2_keff,E_slope,8,0.0035789877176284,0.0464406531039175,-0.0167745259053013,0.0239325013405583,crosses_zero,0.0044827747857198,0.0003484250388041,0.0043300707796413,0.0046354787917983,stable_positive,True,no,CI crosses zero; do not over-interpret
2,iteration2_max_global_stress,E_intercept,1,0.6256247103214264,0.0222946618747337,0.61585364394192,0.6353957767009328,stable_positive,0.6693903684616089,0.0372706636669372,0.6530557799065515,0.6857249570166664,stable_positive,True,yes,top stable contributor
2,iteration2_max_global_stress,alpha_base,2,0.1187647193670272,0.0524300475325458,0.095786237899149,0.1417432008349055,stable_positive,0.1430730506777763,0.0079593491097981,0.1395847121272087,0.1465613892283439,stable_positive,True,yes,top stable contributor
2,iteration2_max_global_stress,nu,3,0.0521552443504333,0.0485804993190451,0.0308639017742129,0.0734465869266537,stable_positive,0.0717164829373359,0.0062195243107461,0.0689906562246139,0.0744423096500579,stable_positive,True,yes,top stable contributor
2,iteration2_max_global_stress,E_slope,4,0.0604751318693161,0.0568404541769285,0.0355637044646476,0.0853865592739846,stable_positive,0.0710970431566238,0.004684487417231,0.0690439760249083,0.0731501102883393,stable_positive,True,no,
2,iteration2_max_global_stress,SS316_k_ref,5,0.0398127794265747,0.055005914836115,0.0157053743379036,0.0639201845152457,stable_positive,0.0580507863312959,0.0034864604023597,0.0565227776890305,0.0595787949735613,stable_positive,True,no,
2,iteration2_max_global_stress,alpha_slope,6,0.0188723236322402,0.0498229253313425,-0.0029635361520002,0.0407081834164808,crosses_zero,0.0338289079256355,0.0024509316617248,0.0327547397640862,0.0349030760871849,stable_positive,True,no,CI crosses zero; do not over-interpret
2,iteration2_max_global_stress,SS316_T_ref,7,-0.003989839553833,0.0525854635417522,-0.0270364350909411,0.0190567559832751,crosses_zero,0.0108198221772909,0.0007562176864913,0.0104883951633455,0.0111512491912362,stable_positive,True,no,CI crosses zero; do not over-interpret
2,iteration2_max_global_stress,SS316_alpha,8,-0.0059275925159454,0.0509139575077465,-0.0282416182341534,0.0163864332022625,crosses_zero,0.0041138131055049,0.000401756927224,0.0039377353687629,0.004289890842247,stable_positive,True,no,CI crosses zero; do not over-interpret
2,iteration2_keff,alpha_base,1,0.7169017404317856,0.0158180268192488,0.7099691845171855,0.7238342963463856,stable_positive,0.7267138123512268,0.0398929277855181,0.7092299658746447,0.7441976588278089,stable_positive,True,yes,top stable contributor
2,iteration2_keff,alpha_slope,2,0.2011769413948059,0.0534798540550694,0.1777383619324009,0.2246155208572109,stable_positive,0.2180897019803524,0.0134916571049432,0.2121767225468612,0.2240026814138435,stable_positive,True,yes,top stable contributor
