level,n_samples,draw_predictive_samples,stress_mean,stress_std,stress_q95,keff_mean,keff_std,p_fail_110,p_fail_120,p_fail_131,overall_primary_CVR
0,20000,True,154.03954290850135,47.15740062912323,238.7189697736484,1.103785551420082,0.0016551520768080263,0.80255,0.7243,0.63955,0.6573755897737931
2,20000,True,156.63400317440465,48.53645925866345,245.01263805989177,1.1038156506708108,0.0016656925189583386,0.81175,0.7326,0.6453,0.6671456766841762
