run_tag,n_cases,mean_accept_rate,std_accept_rate,mean_obs_fit_error,std_obs_fit_error,mean_obs_coverage90,mean_feasible_fraction_110,mean_feasible_fraction_120,mean_feasible_fraction_131,mean_obs_stress,stress_min,stress_max
full,20,0.6023687500000001,0.04276576107967313,1.0606976215113,0.7584647871735223,1.0,0.04141666666666666,0.080375,0.16629166666666667,163.2605,96.34,244.17
reduced,20,0.62840625,0.045413231954058914,1.2265506885330766,0.8531574687726265,1.0,0.03725,0.07920833333333333,0.16670833333333335,163.2605,96.34,244.17
