parameter,full_mean_abs_error,full_mean_width90,full_coverage90,full_coverage50,reduced_mean_abs_error,reduced_mean_width90,reduced_coverage90,reduced_coverage50,width90_ratio_reduced_over_full
E_intercept,4366782130.271971,32038875939.28657,1.0,0.8,4193460583.7611895,25200258908.77388,1.0,0.6,0.7865525293873662
alpha_base,4.439512210589679e-07,1.5703626101557663e-06,0.8,0.45,4.450370385453321e-07,1.3806883484626632e-06,0.85,0.3,0.8792162647872207
alpha_slope,3.4496322266682274e-10,1.4272492963738147e-09,0.8,0.55,3.2839200290680346e-10,1.361246815093058e-09,0.85,0.45,0.9537554641305847
SS316_k_ref,1.406544912182477,5.107794519611972,0.9,0.35,1.4826292996387045,4.40693476708125,0.7,0.35,0.8627862280207848
